perspective,taxonomy,n,replicate,shuffle_id,n_disjoint,n_refs,dcor_A,dcor_B,disparity_A,disparity_B,hull_area
behavioral,behavioral,10,66,0,99,4,0.22206031864337336,0.35851891265104563,0.5943951359250352,0.3664625866627781,0.1808261103077404
behavioral,behavioral,10,67,0,99,4,0.5082701827072738,0.8814910145071384,0.5712599565872453,0.6495977734117644,0.16839863800964472
behavioral,behavioral,10,68,0,99,4,0.615358153759148,0.7007237807038388,0.3394237423616401,0.46300776150488476,0.06477869758645456
behavioral,behavioral,10,69,0,99,4,0.22079796306618973,0.3820114490336953,0.7310307691933899,0.5316265439447214,0.24006224390038391
behavioral,behavioral,10,70,0,99,4,0.4754796011661986,0.6750719521569741,0.44434888363009295,0.5280116064818824,0.17775170804783755
behavioral,behavioral,10,71,0,99,4,0.3355146666458339,0.5486886014151311,0.4360758152362466,0.3488528450995517,0.19178132473383924
behavioral,behavioral,10,72,0,99,4,0.15890012739115558,0.20939240185266017,0.8310194174935609,0.45309201511174274,0.2999912058745473
behavioral,behavioral,10,73,0,99,4,0.6577215030214523,0.7848234509423756,0.44085388254401625,0.15851417681852215,0.3086947428177156
behavioral,behavioral,10,74,0,99,4,0.30730780101243055,0.4632193028986633,0.6332393698411722,0.6767864025047821,0.18970286505906578
behavioral,behavioral,10,75,0,99,4,0.21254612785539356,0.3125116343142673,0.3867646701455106,0.5291768182244784,0.23949932252950742
behavioral,behavioral,10,76,0,99,4,0.6489187798896731,0.9168166889924596,0.39036223933087993,0.2771676635943709,0.3505670686536262
behavioral,behavioral,10,77,0,99,4,0.13743018527843537,0.19853680947863941,0.8417464004139948,0.8062445300551578,0.1996188494418328
behavioral,behavioral,10,78,0,99,4,0.8357173739981761,0.9447835346420803,0.2223604564219693,0.1282382216593147,0.22962663529181443
behavioral,behavioral,10,79,0,99,4,0.3614728005509497,0.8770390362045937,0.5072093594079707,0.5275766821443163,0.17502373145411454
behavioral,behavioral,10,80,0,99,4,0.794041926536692,0.9498870373060636,0.2042367150255809,0.08340533567021464,0.17017398935512448
behavioral,behavioral,10,81,0,99,4,0.7996100937436411,0.9501407260617171,0.13858282253295875,0.1425105133593855,0.13921357949382152
behavioral,behavioral,10,82,0,99,4,0.26169077108986566,0.39707253569755624,0.6103447437097415,0.642462258921304,0.3212521174728358
behavioral,behavioral,10,83,0,99,4,0.3022177108979479,0.39402858793373996,0.6511435085954291,0.45822850277424343,0.2107039904483011
behavioral,behavioral,10,84,0,99,4,0.6338126708525581,0.7192855388139135,0.38774255581643546,0.3352597203131945,0.3175282121854782
behavioral,behavioral,10,85,0,99,4,0.22441283216367336,0.3135739583071019,0.7109640049350043,0.40614554428799365,0.276392005942934
behavioral,behavioral,10,86,0,99,4,0.4907455379359503,0.8365743232431347,0.4202212620653953,0.2595243618956965,0.21633314170762702
behavioral,behavioral,10,87,0,99,4,0.9047609671451041,0.9877623860460483,0.1166745774617202,0.16332725419483193,0.10344673763364358
behavioral,behavioral,10,88,0,99,4,0.4403676925505392,0.9242999391192235,0.6780509497237509,0.48146261055783246,0.2683379679425612
behavioral,behavioral,10,89,0,99,4,0.28503471079706705,0.35739730968264,0.4660598033460894,0.49999658001357594,0.25950451545376557
behavioral,behavioral,10,90,0,99,4,0.7738383843574836,0.9319123051985422,0.1188681384203108,0.2402196650683032,0.1406425225808392
behavioral,behavioral,10,91,0,99,4,0.7013976329313788,0.9289211130219792,0.07823067221428834,0.05528135881852631,0.3636007594807221
behavioral,behavioral,10,92,0,99,4,0.42374846202293354,0.6253182901372366,0.5674886787247267,0.32608598565713476,0.14765732356517303
behavioral,behavioral,10,93,0,99,4,0.25208045465725176,0.2693556779580314,0.6442473347391374,0.7045442347075608,0.24118807281879573
behavioral,behavioral,10,94,0,99,4,0.2682307732147923,0.3042380927238396,0.4605728467470181,0.40453128344491907,0.12929759108208144
behavioral,behavioral,10,95,0,99,4,0.6684612667088905,0.8879448268710994,0.5757987903188037,0.3379523471098105,0.17485052074509597
behavioral,behavioral,10,96,0,99,4,0.4334267718173891,0.4429530013890827,0.5256069886623237,0.6516699251391712,0.20615734505002187
behavioral,behavioral,10,97,0,99,4,0.6176216473713553,0.8656067391907386,0.3144134790678544,0.19509377126084387,0.18740789588102935
behavioral,behavioral,10,98,0,99,4,0.6408371986432081,0.9419564170763572,0.3675018048246266,0.3814745550768061,0.1913916124110917
behavioral,behavioral,10,99,1,99,4,0.48786372789860705,0.6401667123360634,0.5756371145758902,0.29792398162138983,0.2540918533368539
behavioral,behavioral,20,0,0,49,4,0.6353674505248837,0.6917071877264903,0.4948665627220645,0.7395324692155314,0.2744867478274815
behavioral,behavioral,20,1,0,49,4,0.5714225531379744,0.6340420141365319,0.34183780599930463,0.6289713363187877,0.3132846845378849
behavioral,behavioral,20,2,0,49,4,0.3286086025655574,0.34409367292196624,0.5241207664691376,0.8336091870539681,0.2464708250001702
behavioral,behavioral,20,3,0,49,4,0.44970756322886957,0.5016986638386945,0.445877975525784,0.4486244026981794,0.3359312332686788
behavioral,behavioral,20,4,0,49,4,0.820075572556095,0.8987202059638182,0.6162462862665845,0.24683492165679446,0.3193035587183002
behavioral,behavioral,20,5,0,49,4,0.48028264138008425,0.5425882761536468,0.5937937557025659,0.5896663419774111,0.21698265600638966
behavioral,behavioral,20,6,0,49,4,0.34593504012403226,0.3597655217440103,0.5547713061278882,0.41747896297932086,0.3023294706293026
behavioral,behavioral,20,7,0,49,4,0.4266622530233217,0.46946706311160946,0.5029688888863881,0.3638509419873056,0.2555207906395856
behavioral,behavioral,20,8,0,49,4,0.6458957683873272,0.727736136938699,0.6070051941842434,0.1402895694849773,0.25565069703158055
