perspective,taxonomy,metric,mixture,n_models,n_within_pairs,n_between_pairs,within_mean,within_sd,between_mean,between_sd,ratio,n_between_same_seed_pairs,between_same_seed_mean,between_same_seed_sd,n_between_diff_seed_pairs,between_diff_seed_mean,between_diff_seed_sd,ratio_same_seed,seconds
functional_all,functional,cosine,yahoo_000g1_050g2_050g3_n1000_s00,10,45,1500,0.0015098327950136437,9.177835803210466e-05,0.018007458915140367,0.0059403741794007035,0.08384485574165058,150,0.017412599003394716,0.0060757331931323,1350,0.018073554460889884,0.005921455753572604,0.08670921524806782,0.88
functional_all,functional,cosine,yahoo_000g1_075g2_025g3_n1000_s00,10,45,1500,0.0014833520176687697,0.00011011028125587683,0.019506223355574982,0.007285489457351237,0.07604506472775623,150,0.01896358822593471,0.007465691925923147,1350,0.019566516147757233,0.007262688823538384,0.07822106238523621,0.88
functional_all,functional,cosine,yahoo_000g1_100g2_000g3_n1000_s00,10,45,1500,0.001584483898783996,0.0001269389075372451,0.025191208490557282,0.008443180773029383,0.06289828847940847,150,0.024721229568109713,0.008628695677605273,1350,0.025243428370829237,0.008420696752203935,0.06409405707020228,0.88
functional_all,functional,cosine,yahoo_025g1_000g2_075g3_n1000_s00,10,45,1500,0.0015257399416331295,9.809453191436151e-05,0.020378808169997403,0.006840069726188705,0.0748689486110082,150,0.019838781219052012,0.006991554374677615,1350,0.02043881116454689,0.006820391595756695,0.07690693923112059,0.88
functional_all,functional,cosine,yahoo_025g1_025g2_050g3_n1000_s00,10,45,1500,0.001519447885730512,0.00010012395741647584,0.015764384051316253,0.005285546465813765,0.09638485593756169,150,0.015108874787692832,0.005410629344585231,1350,0.015837218413941076,0.0052664310973073196,0.1005665813689979,0.88
functional_all,functional,cosine,yahoo_025g1_050g2_025g3_n1000_s00,10,45,1500,0.0014756351004023937,8.004109960359648e-05,0.01564959636401421,0.005916218968639432,0.09429221470501141,150,0.015011506293782523,0.006058571622966729,1350,0.015720495260706617,0.005895928726376216,0.09830026857555084,0.88
functional_all,functional,cosine,yahoo_025g1_075g2_000g3_n1000_s00,10,45,1500,0.0014216694414297256,8.303380642903338e-05,0.019131495033174593,0.007119285867878376,0.07431042053767924,150,0.01857568751900647,0.007283079346986134,1350,0.01919325142363772,0.007098167378920645,0.0765338801040385,0.88
functional_all,functional,cosine,yahoo_033g1_033g2_033g3_n1000_s00,10,45,1500,0.0014810261331062139,0.00012224582974716878,0.015423427093549625,0.0049320031827541,0.09602445190184791,150,0.014805929748118937,0.005041399857088672,1350,0.01549203790970859,0.0049149112285354225,0.10002925573075715,0.88
functional_all,functional,cosine,yahoo_050g1_000g2_050g3_n1000_s00,10,45,1500,0.0015607108564263555,0.0001353227373652566,0.019539321327025395,0.0068084454844117405,0.07987538719001931,150,0.018961149826392628,0.006949245987994061,1350,0.019603562604873483,0.006789582335217312,0.08231098170291089,0.88
functional_all,functional,cosine,yahoo_050g1_025g2_025g3_n1000_s00,10,45,1500,0.0015233885599093568,0.00011354854098011035,0.01649513611963175,0.0058071700090356814,0.09235380350067497,150,0.01585297986872138,0.00593727266965602,1350,0.01656648681417735,0.005788137730061927,0.09609477666183561,0.88
functional_all,functional,cosine,yahoo_050g1_050g2_000g3_n1000_s00,10,45,1500,0.0015057414664308814,0.00013389190468631032,0.017341476558271972,0.006260719067223782,0.0868289076406608,150,0.016743035235679424,0.006395233425881052,1350,0.017407970038560035,0.006242053591501707,0.08993240743005455,0.88
functional_all,functional,cosine,yahoo_075g1_000g2_025g3_n1000_s00,10,45,1500,0.0014393864030791607,7.816122373905197e-05,0.020135065166110792,0.007160907509291789,0.07148655299620203,150,0.019606975788389373,0.007325426273704422,1350,0.02019374176363539,0.007139983104524832,0.07341195391955957,0.88
