perspective,taxonomy,metric,n_samples,seed,n_models,dcor_requested,dcor_realized,disparity_requested,disparity_realized,max_realized_deviation
functional_all,functional,cosine,5000,6,16,0.9767336084975953,0.9767354599989989,0.010330959843988786,0.010330203761063934,0.00013333333333331865
functional_all,functional,cosine,5000,7,16,0.9797809235278995,0.9797839982924093,0.007145562612188164,0.007143545834223471,0.00013333333333331865
functional_all,functional,cosine,5000,8,16,0.980068732669573,0.980069919750858,0.006037489200191254,0.0060362875758273645,0.00013333333333331865
functional_all,functional,cosine,5000,9,16,0.98100735135045,0.9810061816187278,0.009968007821295997,0.009968586139171363,0.00013333333333331865
functional_last,functional,cosine,10,0,16,0.8097752107076274,0.7873918367041577,0.10407671310212797,0.12691969969515585,0.06666666666666671
functional_last,functional,cosine,10,1,16,0.8347420195976905,0.8168386573081948,0.18890038337725082,0.19333569354149227,0.06666666666666671
functional_last,functional,cosine,10,2,16,0.8372766622556372,0.8662075703024176,0.19211743558332525,0.18868797965442463,0.06666666666666671
functional_last,functional,cosine,10,3,16,0.783375519542606,0.7976094738406657,0.1394159280469195,0.1322720901252995,0.06666666666666671
functional_last,functional,cosine,10,4,16,0.6669539312112122,0.6207152312038327,0.2796473485853837,0.31539591165426706,0.06666666666666671
functional_last,functional,cosine,10,5,16,0.8170650455238831,0.8307773485637666,0.12794921176900667,0.11916920596225533,0.06666666666666671
functional_last,functional,cosine,10,6,16,0.920894288218718,0.9188157491171204,0.03238147988660692,0.03708489804875167,0.06666666666666671
functional_last,functional,cosine,10,7,16,0.6597590378077406,0.6277046718062974,0.4528152967467457,0.45248371377387997,0.06666666666666671
functional_last,functional,cosine,10,8,16,0.7178464164350683,0.7729773263431103,0.1844310601980593,0.1464093407254029,0.06666666666666671
functional_last,functional,cosine,10,9,16,0.7059020951113176,0.7210238480419099,0.23655846199706987,0.2386077782927581,0.06666666666666671
functional_last,functional,cosine,20,0,16,0.9468245755012347,0.9497708145152312,0.0534149532486174,0.050605411560964986,0.033333333333333326
functional_last,functional,cosine,20,1,16,0.9124509181777932,0.9130465757237486,0.03132052558427974,0.0313449235457419,0.033333333333333326
functional_last,functional,cosine,20,2,16,0.9269361343435524,0.9296598577284156,0.036342340731000136,0.03449660658155325,0.033333333333333326
functional_last,functional,cosine,20,3,16,0.9041380008193385,0.9045972495496019,0.10659712758345743,0.10580386399674321,0.033333333333333326
functional_last,functional,cosine,20,4,16,0.716733942844357,0.7171656725405956,0.34299655792904726,0.3412248418960332,0.033333333333333326
functional_last,functional,cosine,20,5,16,0.7348603259053114,0.7313516858640053,0.23439494876829553,0.23533264711077312,0.033333333333333326
functional_last,functional,cosine,20,6,16,0.8856438231306581,0.885427948609212,0.10735651703807197,0.09883494388210284,0.033333333333333326
